35000,36000,37000,38000,39000,40000,41000,42000,43000,44000,45000
0.1217,0.1374,0.1629,0.2067,0.2746,0.3733,0.5122,0.6795,0.8759,1.0968,1.3381
0.2435,0.2749,0.3259,0.4134,0.5492,0.7465,1.0243,1.3589,1.7518,2.1937,2.6761
0.3652,0.4123,0.4888,0.6202,0.8237,1.1198,1.5365,2.0384,2.6276,3.2905,4.0142
0.4869,0.5497,0.6518,0.8269,1.0983,1.493,2.0487,2.7178,3.5035,4.3873,5.3522
0.6087,0.6871,0.8147,1.0336,1.3729,1.8663,2.5608,3.3973,4.3794,5.4841,6.6903
0.7304,0.8246,0.9777,1.2403,1.6475,2.2395,3.073,4.0767,5.2553,6.581,8.0283
0.8521,0.962,1.1406,1.447,1.922,2.6128,3.5852,4.7562,6.1312,7.6778,9.3664
0.9739,1.0994,1.3036,1.6537,2.1966,2.9861,4.0974,5.4356,7.0071,8.7746,10.7044
